,Nº Registro,Medicamento,Laboratorio,Fecha Aut.,Estado,Fecha Estado,Cód. ATC,Principios Activos,Nº P. Activos,¿Comercializado?,¿Triangulo Amarillo?,Observaciones,¿Sustituible?,¿Afecta conducción?,¿Problemas de suministro?,nombre
10494,46726,RESINCALCIO POLVO PARA SUSPENSION ORAL,Laboratorios Rubio S.A.,01/10/1968,Autorizado,01/10/1968,V03AE01,POLIESTIRENOSULFONATO CALCIO,1,SI,NO,Medicamento Sujeto A Prescripción Médica,,NO,NO,RESINCALCIO
10495,46790,SUPOSITORIOS DE GLICERINA ROVI NIÑOS,Jntl Consumer Health (Spain) S.L.,01/10/1939,Anulado,29/09/2023,A06AX01,GLICEROL,1,NO,NO,Sin Receta,,NO,NO,SUPOSITORIOS
10496,49875,EFFERALDOL CON VITAMINA C 330MG/200MG COMPRIMIDOS EFERVESCENTES,Upsa S.A.S.,01/02/1972,Autorizado,01/02/1972,N02BE51,"PARACETAMOL, ASCORBICO ACIDO",2,SI,NO,Sin Receta,,NO,NO,EFFERALDOL
10497,499136-4IP,IBIS 20mg comprimidos,Menarini International Operations Luxembourg S.A.,16/02/2015,Anulado,13/02/2024,R06AX29,BILASTINA,1,NO,NO,Medicamento Sujeto A Prescripción Médica,,NO,NO,IBIS
10498,51174,"COLIRCUSI GENTADEXA 5 MG/ML+ 1 MG/ML+ 0,5 MG/ML COLIRIO/GOTAS ÓTICAS EN SOLUCIÓN",Ntc S.R.L.,01/05/1973,Autorizado,01/05/1973,S03CA01,"GENTAMICINA SULFATO, TETRIZOLINA HIDROCLORURO, DEXAMETASONA FOSFATO SODIO",3,SI,NO,Medicamento Sujeto A Prescripción Médica,,NO,SI,COLIRCUSI
10499,47396,PENILEVEL RETARD 1.000.000 U.I.,Laboratorios Ern S.A.,01/03/1969,Autorizado,01/03/1969,J01CE30,"FENOXIMETILPENICILINA CALCICA, BENCILPENICILINA-BENZATINA, BENCILPENICILINA SODICA",3,SI,NO,Medicamento Sujeto A Prescripción Médica,,NO,NO,PENILEVEL
10500,47656,FLAGYL 125mg/5 ml SUSPENSION ORAL,Laboratorios Fidia Farmaceutica S.L.,01/04/1969,Autorizado,01/04/1969,J01XD01,METRONIDAZOL BENZOATO,1,SI,NO,Medicamento Sujeto A Prescripción Médica,,NO,NO,FLAGYL
10501,1221709001,BIMERVAX EMULSION INYECTABLE,Hipra Human Health S.L.,05/04/2023,Autorizado,06/04/2023,J07BN04,VACUNA DE PROTEINA RECOMBINANTE DE HETERODIMEROS DEL DOMINIO DE UNION AL RECEPTOR (RBD) DEL VIRUS SARS-COV-2 ADYUVADA (HIPRA),1,NO,SI,Medicamento Sujeto A Prescripción Médica,Biológicos,NO,NO,BIMERVAX
10502,1221711002,FUMARATO DE DIMETILO ACCORD 240 MG CAPSULAS DURAS GASTRORRESISTENTES EFG,Accord Healthcare S.L.U.,14/04/2023,Anulado,20/12/2023,L04AX07,FUMARATO DE DIMETILO,1,NO,NO,Uso Hospitalario,,NO,NO,FUMARATO
10503,1221713002,IMJUDO 20 MG/ML CONCENTRADO PARA SOLUCION PARA PERFUSION,Astrazeneca Ab,01/03/2023,Autorizado,02/03/2023,L01FX20,TREMELIMUMAB,1,SI,SI,Uso Hospitalario,Biológicos,NO,NO,IMJUDO
10504,1231719002,"TOLVAPTAN ACCORD 7,5 MG COMPRIMIDOS EFG",Accord Healthcare S.L.U.,14/04/2023,Autorizado,15/04/2023,C03XA01,TOLVAPTAN,1,SI,NO,Diagnóstico Hospitalario,,NO,SI,TOLVAPTAN
10505,1231730001,BRIUMVI 150 MG CONCENTRADO PARA SOLUCION PARA PERFUSION,Neuraxpharm Pharmaceuticals S.L.,14/11/2023,Autorizado,15/11/2023,L04AG14,UBLITUXIMAB,1,SI,SI,Uso Hospitalario,Biológicos,NO,NO,BRIUMVI
